q_inverse_angstroms,debye,propo{e=0.380}_VATPaseLiRotor,propo{e=0.380}_VATPaseLiRotor_relDiffDebye,propo{e=0.390}_VATPaseLiRotor,propo{e=0.390}_VATPaseLiRotor_relDiffDebye,propo{e=0.400}_VATPaseLiRotor,propo{e=0.400}_VATPaseLiRotor_relDiffDebye,propo{e=0.410}_VATPaseLiRotor,propo{e=0.410}_VATPaseLiRotor_relDiffDebye,propo{e=0.420}_VATPaseLiRotor,propo{e=0.420}_VATPaseLiRotor_relDiffDebye,propo{e=0.430}_VATPaseLiRotor,propo{e=0.430}_VATPaseLiRotor_relDiffDebye,propo{e=0.440}_VATPaseLiRotor,propo{e=0.440}_VATPaseLiRotor_relDiffDebye,propo{e=0.450}_VATPaseLiRotor,propo{e=0.450}_VATPaseLiRotor_relDiffDebye,strat{a=0.15}_VATPaseLiRotor,strat{a=0.15}_VATPaseLiRotor_relDiffDebye,strat{a=0.20}_VATPaseLiRotor,strat{a=0.20}_VATPaseLiRotor_relDiffDebye,strat{a=0.25}_VATPaseLiRotor,strat{a=0.25}_VATPaseLiRotor_relDiffDebye,strat{a=0.30}_VATPaseLiRotor,strat{a=0.30}_VATPaseLiRotor_relDiffDebye,strat{a=0.35}_VATPaseLiRotor,strat{a=0.35}_VATPaseLiRotor_relDiffDebye,strat{a=0.40}_VATPaseLiRotor,strat{a=0.40}_VATPaseLiRotor_relDiffDebye,strat{a=0.45}_VATPaseLiRotor,strat{a=0.45}_VATPaseLiRotor_relDiffDebye,strat{a=0.50}_VATPaseLiRotor,strat{a=0.50}_VATPaseLiRotor_relDiffDebye
0,174.930111,38.399961,78.04839842581475,37.407684,78.61564039137893,36.493902,79.13801015080819,35.606387,79.64536419919153,34.771231,80.12278686543564,33.962325,80.58520353880071,33.205752,81.01770369310519,32.475411,81.43520814435429,73.002255,58.26775928816509,251.998356,44.056591835124365,313.867159,79.42431820671514,434.342788,148.29503938289957,421.365999,140.87676877996148,841.629355,381.12320411206963,988.149094,464.88221973402847,1104.02813,531.1252669358906
0.02,148.179635,32.548147,78.03466920403737,31.708072,78.60159933583316,30.934479,79.12366365324088,30.183145,79.63070633829001,29.47616,80.10781980938204,28.79142,80.56992109610744,28.151002,81.00211139000308,27.53281,81.41930232180691,72.060339,51.369606896386266,258.269625,74.29495287932113,275.595022,85.98711084691224,539.037841,263.77322767733904,665.456262,349.0875294705647,451.49935,204.6973020280418,802.201214,441.3707585391205,905.371773,510.99608795770087
0.04,87.685683,19.314659,77.9728476312376,18.818781,78.53836526539914,18.362211,79.05905460073795,17.918844,79.56468674595374,17.50171,80.0404018065298,17.097763,80.50107792397534,16.720022,80.93186774858103,16.355449,81.34764029835976,79.541755,9.287637070694885,110.390955,25.893932992458996,242.578,176.64493415646885,208.921079,138.26133509161355,235.053866,168.06413311509473,632.726022,621.5841860979745,397.839348,353.71072493100155,720.24429,721.3932598323947
0.06,32.698267,7.285581,77.71875494196681,7.102575,78.27843597949702,6.934176,78.79344492477232,6.770746,79.29325734602388,6.617083,79.76319968272324,6.468373,80.21799442765575,6.329402,80.64300471948559,6.195366,81.05292246833754,37.87468,15.830848160852062,104.201014,218.6744239381249,90.838073,177.806995092431,153.621896,369.81662973147775,141.248025,331.97404009209424,269.737885,724.9302172497398,230.890328,606.1240523847946,296.315881,806.2128002074239
0.08,6.071169,1.45981,75.9550425955858,1.42833,76.47355888132911,1.399495,76.94850859859115,1.371641,77.40729997797787,1.345577,77.83660774391225,1.320481,78.24997129877293,1.297148,78.6342959650769,1.274763,79.00300584615583,35.089959,477.9769760980134,46.051261,658.5237867698954,29.222381,381.33038299543296,22.228943,266.13942059593467,60.049145,889.0870275559781,71.718398,1081.2947061760262,143.978346,2271.5094407683264,125.421932,1965.8613192945215
0.1,2.254545,0.621749,72.42241782710038,0.612067,72.85186146206884,0.603308,73.24036557265435,0.594957,73.61077290539775,0.58725,73.95261571625316,0.579935,74.27707142682893,0.573238,74.57411584155561,0.566914,74.85461589810804,1.107045,50.897187680884606,5.4669,142.48351662974127,14.846416,558.510519860992,20.232819,797.4236043192751,17.236286,664.5128396195241,73.030921,3139.275374853907,11.962782,430.6073731063253,19.869721,781.3184478464613
0.12,4.502549,1.107702,75.3983354761936,1.08538,75.89409909808866,1.06498,76.34717578864772,1.04532,76.78381734435315,1.026969,77.19138647908107,1.009343,77.58285362358077,0.993,77.945825797787,0.977362,78.29314017459889,12.228734,171.5958005121099,25.984752,477.1120314293081,3.487721,22.538966261111206,7.640724,69.69774232329286,14.176209,214.84852247027183,19.328836,329.2865219234704,17.289593,283.995665566327,46.89315,941.4800594063495
0.14,3.983063,0.988702,75.17734467167605,0.969475,75.66006362440162,0.951925,76.10067930133167,0.935035,76.52472481605237,0.91929,76.92002360997051,0.90419,77.29912883627499,0.890208,77.65016521204913,0.876852,77.98548504003075,4.944733,24.14398165431981,4.103492,3.0235273707696844,6.837187,71.65651158417529,14.213414,256.84632655822924,15.531364,289.9351830488245,20.688937,419.42279095259096,22.475604,464.27940004966024,57.767538,1350.329507718055
0.16,1.714695,0.49142,71.34067574699874,0.485127,71.70767979144979,0.47949,72.03642630322011,0.474172,72.34656892333622,0.46932,72.62953469859072,0.464771,72.8948296927442,0.46066,73.13458078550413,0.456834,73.3577108465354,2.655787,54.88392979509476,6.519835,280.2329277218397,20.527612,1097.1582118102638,19.511842,1037.9191051469795,14.724298,758.712365756009,28.658501,1571.3468576044138,29.606456,1626.631033507417,25.250912,1372.6182790525427
0.18,0.452906,0.218005,51.86528771974758,0.218824,51.68445549407603,0.219737,51.482868409780394,0.220782,51.252136204863696,0.221918,51.00131153042794,0.22317,50.72487447726459,0.224487,50.434085660159056,0.2259,50.12210039169276,15.516423,3325.969848047939,9.780677,2059.537961519609,15.172723,3250.082136249023,19.172103,4133.1307158659865,14.578275,3118.8301766812538,42.571572,9299.648492181603,24.406381,5288.840289154925,39.517005,8625.21119172632
