q_inverse_angstroms,debye,propo{e=0.380}_VancomycinLacticAcid,propo{e=0.380}_VancomycinLacticAcid_relDiffDebye,propo{e=0.390}_VancomycinLacticAcid,propo{e=0.390}_VancomycinLacticAcid_relDiffDebye,propo{e=0.400}_VancomycinLacticAcid,propo{e=0.400}_VancomycinLacticAcid_relDiffDebye,propo{e=0.410}_VancomycinLacticAcid,propo{e=0.410}_VancomycinLacticAcid_relDiffDebye,propo{e=0.420}_VancomycinLacticAcid,propo{e=0.420}_VancomycinLacticAcid_relDiffDebye,propo{e=0.430}_VancomycinLacticAcid,propo{e=0.430}_VancomycinLacticAcid_relDiffDebye,propo{e=0.440}_VancomycinLacticAcid,propo{e=0.440}_VancomycinLacticAcid_relDiffDebye,propo{e=0.450}_VancomycinLacticAcid,propo{e=0.450}_VancomycinLacticAcid_relDiffDebye,strat{s=0.15}_VancomycinLacticAcid,strat{s=0.15}_VancomycinLacticAcid_relDiffDebye,strat{s=0.20}_VancomycinLacticAcid,strat{s=0.20}_VancomycinLacticAcid_relDiffDebye,strat{s=0.25}_VancomycinLacticAcid,strat{s=0.25}_VancomycinLacticAcid_relDiffDebye,strat{s=0.30}_VancomycinLacticAcid,strat{s=0.30}_VancomycinLacticAcid_relDiffDebye,strat{s=0.35}_VancomycinLacticAcid,strat{s=0.35}_VancomycinLacticAcid_relDiffDebye,strat{s=0.40}_VancomycinLacticAcid,strat{s=0.40}_VancomycinLacticAcid_relDiffDebye,strat{s=0.45}_VancomycinLacticAcid,strat{s=0.45}_VancomycinLacticAcid_relDiffDebye,strat{s=0.50}_VancomycinLacticAcid,strat{s=0.50}_VancomycinLacticAcid_relDiffDebye
0,186.902089,220.512243,17.982759946572894,214.646645,14.844433333219737,209.515048,12.09882624693404,204.384258,9.353650937523764,199.987128,7.001012706711922,194.858009,4.256731448303941,190.462416,1.9049155732015395,186.800024,0.05460880643232504,144.19351700000001,22.850772952034784,144.19351700000001,22.850772952034784,144.19351700000001,22.850772952034784,144.19351700000001,22.850772952034784,144.19351700000001,22.850772952034784,144.19351700000001,22.850772952034784,144.19351700000001,22.850772952034784,144.19351700000001,22.850772952034784
0.02,182.47257,215.338085,18.01120847917033,209.610926,14.872567422051445,204.600464,12.126696083690824,199.590808,9.381266455555496,195.297507,7.02841912074785,190.289522,4.2839052466899625,185.997759,1.9319007782923274,182.421891,0.027773489462006463,141.34711,22.537886105292433,140.765506,22.856621134891675,141.142008,22.650287656933855,141.137753,22.652619514264522,141.033917,22.709524505518825,141.234815,22.599426861801746,141.140631,22.651042290904314,141.095779,22.675622423688118
0.04,169.92571,200.675473,18.096003836029286,195.340625,14.95648598437516,190.673434,12.209879246642533,186.007051,9.463748010821895,182.007983,7.110326624499604,177.343269,4.365177582603588,173.345739,2.012661297692974,170.015065,0.052584744239105086,133.232748,21.593531667456336,131.083341,22.858441491873137,132.446832,22.056037311834686,132.447794,22.055471182083053,132.055261,22.28647389497446,132.781502,21.85908653846438,132.453096,22.0523509950319,132.28072,22.15379297223475
0.06,151.267821,178.852308,18.235528757963664,174.101357,15.094774188622715,169.945076,12.347143547470022,165.789603,9.600047058257024,162.228458,7.245848408168709,158.074654,4.499855260029172,154.515047,2.1466733496478487,151.54931,0.18608650414815817,121.00816,20.004030467259785,116.768431,22.80682683992651,119.366103,21.089560085617947,119.42297,21.051966498545642,118.620429,21.58250960724819,119.997474,20.672173892159126,119.418365,21.05501076795441,119.053663,21.29610765002029
0.08,129.20243,153.010921,18.42727803184507,148.951379,15.285276755243698,145.400081,12.536645789092363,141.849589,9.78863865021735,138.807001,7.433738668847035,135.25818,4.687024849300449,132.217129,2.333314474038923,129.683521,0.37235445184739996,106.258659,17.758002693912182,99.984851,22.613799910729224,103.639166,19.78543592407665,103.83721,19.632153977289743,102.593503,20.59475738962494,104.509343,19.11193698137101,103.807719,19.654979399381254,103.207288,20.119700535044107
0.1,106.436786,126.306984,18.66854378710759,122.961928,15.525780720210777,120.035806,12.776616535565061,117.11049,10.028209607907552,114.603767,7.673081184544605,111.680121,4.926243263301846,109.174936,2.5725598290801495,107.087882,0.6117208386957452,90.617738,14.862387896605592,82.860016,22.15096010133188,87.080543,18.185670318906467,87.505396,17.78651038936857,85.884756,19.309141860033243,88.045136,17.27941127421867,87.453438,17.835326218888266,86.59275,18.643963939309483
0.12,85.11132,101.246694,18.957964698467837,98.572147,15.815554264697099,96.23272,13.06688698988571,93.894101,10.319169060002828,91.890259,7.964791287457407,89.55331,5.2190354937509955,87.551006,2.866464766378896,85.883021,0.9066960775605325,75.444142,11.358275256452382,67.016885,21.25972784818753,71.215927,16.326139695636268,71.911917,15.508398882780813,70.055229,17.68988073501857,72.10099,15.286250994579815,71.874044,15.552897076440605,70.744291,16.880279849965905
0.14,66.516454,79.352843,19.298065708674127,77.264085,16.157853213281633,75.437223,13.411371868981481,73.611169,10.666105261714655,72.046669,8.314055647043359,70.222284,5.571298193376343,68.659322,3.221560788553171,67.357455,1.264350321500911,61.645928,7.3222875049833505,53.359335,19.780247155087363,57.061113,14.215040687526725,58.007085,12.792878285423933,56.093515,15.669715345920274,57.72496,13.217021460584766,58.053014,12.723829204725796,56.662564,14.814214239382023
0.16,51.119261,61.188722,19.697978419523704,59.585961,16.562641623477294,58.184346,13.820788606470652,56.783539,11.08051620699289,55.583536,8.733058562798865,54.184399,5.996053033708757,52.985934,3.651604040207073,51.987814,1.699071901684961,49.670203,2.8346614791634037,42.127535,17.58970263674195,45.080761,11.812572955622342,46.197261,9.628464699440793,44.397737,13.148711206916708,45.455809,11.078900377687384,46.407141,9.217895383894534,44.788246,12.38479366906341
0.18,38.799306,46.626911,20.17460054569017,45.413763,17.04787451610604,44.35306,14.314054998818786,43.293165,11.582317993007402,42.385372,9.24260346306193,41.327147,6.515170657949384,40.420892,4.179420116431981,39.666281,2.2345116172954134,39.611125,2.092354435411808,33.12865,14.615354202469499,35.29588,9.029609962611199,36.478304,5.982070916423092,34.916014,10.008663557023429,35.397468,8.767780537105478,36.908348,4.87369026652179,35.124146,9.47223128166261
